trade_id,trade_ref,amount,status,updated_at
1,TRD-001,10000.00,NEW,2024-01-15 09:00:00
1,TRD-001,10500.00,AMENDED,2024-01-15 11:00:00
1,TRD-001,10500.00,CONFIRMED,2024-01-15 14:00:00
2,TRD-002,25000.00,NEW,2024-01-15 09:30:00
2,TRD-002,24000.00,AMENDED,2024-01-15 10:00:00
3,TRD-003,8500.00,NEW,2024-01-15 08:00:00
3,TRD-003,8500.00,AMENDED,2024-01-15 08:30:00
3,TRD-003,9000.00,AMENDED,2024-01-15 09:00:00
3,TRD-003,9000.00,AMENDED,2024-01-15 09:30:00
3,TRD-003,9100.00,CONFIRMED,2024-01-15 10:00:00
